!Ngx Ngy	  x[cm]			y[cm]			Ex[V/m]			Ey[V/m]
150 100
                -5.000000                -5.000000                 0.000000                 0.000000
                -5.000000                -4.899329                 0.000000                 0.000000
                -5.000000                -4.798658                 0.000000                 0.000000
                -5.000000                -4.697987                 0.000000                 0.000000
                -5.000000                -4.597315           -425359.529362            460390.114914
                -5.000000                -4.496644           -428394.333733            512263.340855
                -5.000000                -4.395973           -422036.480381            570750.396055
                -5.000000                -4.295302           -421062.144803            630518.175584
                -5.000000                -4.194631           -414048.197361            682884.489411
                -5.000000                -4.093960           -403802.660123            741215.967475
                -5.000000                -3.993289           -398207.677091            798296.329616
                -5.000000                -3.892617           -378354.118772            843241.369789
                -5.000000                -3.791946           -369785.925015            910895.219719
                -5.000000                -3.691275           -356081.705615            956716.555610
                -5.000000                -3.590604           -342504.727329           1015338.555240
                -5.000000                -3.489933           -333953.321088           1079124.345926
                -5.000000                -3.389262           -324308.391107           1140726.363797
                -5.000000                -3.288591           -327707.172448           1221686.974186
                -5.000000                -3.187919           -335024.622846           1289357.421595
                -5.000000                -3.087248           -330017.972061           1402050.654985
                -5.000000                -2.986577           -377669.072825           1529717.728229
                -5.000000                -2.885906           -422386.755522           1702785.074607
                -5.000000                -2.785235           -495544.748603           1923966.311956
                -5.000000                -2.684564           -632022.613979           2164687.026605
                -5.000000                -2.583893           -964695.538486           2556807.696043
                -5.000000                -2.483221          -1695097.707373           3053900.879205
                -5.000000                -2.382550          -3378586.074030           2978688.423561
                -5.000000                -2.281879          -3622717.098362             20017.376031
                -5.000000                -2.181208          -2529181.608441             74188.864835
                -5.000000                -2.080537          -2149157.245510             23731.014724
                -5.000000                -1.979866          -1884667.855175             13983.680795
                -5.000000                -1.879195          -1703860.105490             11405.139732
                -5.000000                -1.778523          -1612614.951003              9362.990632
                -5.000000                -1.677852          -1512284.683309             14651.337758
                -5.000000                -1.577181          -1428219.131780              4840.571173
                -5.000000                -1.476510          -1372181.779294              5165.284169
                -5.000000                -1.375839          -1315586.119525              3457.286065
                -5.000000                -1.275168          -1263205.901115              3201.927829
                -5.000000                -1.174497          -1236649.325946              2303.502769
                -5.000000                -1.073826          -1206629.718389              3821.109138
                -5.000000                -0.973154          -1172852.017017              2572.976213
                -5.000000                -0.872483          -1153554.857998              1906.138528
                -5.000000                -0.771812          -1133093.404429              1187.853475
                -5.000000                -0.671141          -1114476.184160              2289.843187
                -5.000000                -0.570470          -1098776.848165               565.052213
                -5.000000                -0.469799          -1088646.843696               770.175557
                -5.000000                -0.369128          -1080125.013761               166.294148
                -5.000000                -0.268456          -1071388.346055               547.635018
                -5.000000                -0.167785          -1067948.468613               291.486777
                -5.000000                -0.067114          -1065699.691745                55.922105
                -5.000000                 0.033557          -1065221.260357               -31.017506
                -5.000000                 0.134228          -1067551.233113              -339.671346
                -5.000000                 0.234899          -1071112.084531              -353.360115
                -5.000000                 0.335570          -1075694.601031              -434.542338
                -5.000000                 0.436242          -1084979.843598             -1993.153638
                -5.000000                 0.536913          -1095062.880090              -541.811026
                -5.000000                 0.637584          -1107618.567140             -1836.610476
                -5.000000                 0.738255          -1126309.418075             -1578.531755
                -5.000000                 0.838926          -1142007.874908             -1574.550421
                -5.000000                 0.939597          -1170168.266447             -1905.925535
                -5.000000                 1.040268          -1194792.910363             -1752.162244
                -5.000000                 1.140940          -1229522.151141             -3717.943415
                -5.000000                 1.241611          -1254895.272793             -3580.559891
                -5.000000                 1.342282          -1300839.262412             -2594.469148
                -5.000000                 1.442953          -1346267.042146             -6150.095133
                -5.000000                 1.543624          -1406982.474417             -3977.766064
                -5.000000                 1.644295          -1459304.397235             -5359.943986
                -5.000000                 1.744966          -1577566.432787             -7657.258185
                -5.000000                 1.845638          -1676420.471905            -10744.042392
                -5.000000                 1.946309          -1806147.786778            -24214.569673
                -5.000000                 2.046980          -1997610.688369            -24489.083100
                -5.000000                 2.147651          -2370699.413348            -21866.710826
                -5.000000                 2.248322          -3027400.690036            -21751.309569
                -5.000000                 2.348993          -4223780.585320          -2251931.597873
                -5.000000                 2.449664          -2113570.009351          -3184191.938170
                -5.000000                 2.550336          -1072036.135926          -2751482.684701
                -5.000000                 2.651007           -692764.273471          -2305919.226864
                -5.000000                 2.751678           -520776.979381          -1968641.643760
                -5.000000                 2.852349           -424525.523719          -1754487.254516
                -5.000000                 2.953020           -384210.042859          -1578941.342773
                -5.000000                 3.053691           -363012.749936          -1440240.958140
                -5.000000                 3.154362           -337840.037496          -1332905.249986
                -5.000000                 3.255034           -324662.342167          -1238712.823096
                -5.000000                 3.355705           -328430.764191          -1166854.805094
                -5.000000                 3.456376           -331512.036855          -1094452.738478
                -5.000000                 3.557047           -341504.529120          -1033924.544973
                -5.000000                 3.657718           -353805.904301           -979047.235112
                -5.000000                 3.758389           -364131.130179           -925696.384073
                -5.000000                 3.859060           -377040.034649           -871518.778005
                -5.000000                 3.959732           -388336.531165           -814849.415557
                -5.000000                 4.060403           -406202.606817           -759108.124518
                -5.000000                 4.161074           -414599.127124           -706051.428322
                -5.000000                 4.261745           -420760.766894           -646784.076815
                -5.000000                 4.362416           -424075.161924           -592111.846587
                -5.000000                 4.463087           -433870.083133           -531554.055862
                -5.000000                 4.563758           -425465.405389           -475302.286894
                -5.000000                 4.664430                 0.000000                 0.000000
                -5.000000                 4.765101                 0.000000                 0.000000
                -5.000000                 4.865772                 0.000000                 0.000000
                -5.000000                 4.966443                 0.000000                 0.000000
                -4.899329                -5.000000                 0.000000                 0.000000
                -4.899329                -4.899329                 0.000000                 0.000000
