        -0     0.519
        -2     0.866
        -7    0.8802
        -8    0.8836
       -10    0.8836
       -12    0.8917
       -14    0.8998
       -16    0.9055
       -18     0.909
       -20    0.9147
       -22    0.9194
       -24    0.9228
       -26    0.9343
       -27    0.9366
       -32    0.9482
       -37    0.9597
       -42    0.9689
       -47     0.977
       -52    0.9793
       -57    0.9862
       -62    0.9896
       -67    0.9942
       -72    0.9965
       -77    0.9988
       -82    0.9988
       -87    1.0012
       -92    1.0023
      -102    1.0023
      -117    1.0035
      -137    1.0035
      -157    1.0035
      -177    1.0023
      -197    1.0023
      -217    1.0012
      -237         1
      -570         1
      -850         1
     -1130         1
     -1463         1
     -1483    1.0012
     -1503    1.0023
     -1523    1.0023
     -1543    1.0035
     -1563    1.0035
     -1583    1.0035
     -1598    1.0023
     -1608    1.0023
     -1613    1.0012
     -1618    0.9988
     -1623    0.9988
     -1628    0.9965
     -1633    0.9942
     -1638    0.9896
     -1643    0.9862
     -1648    0.9793
     -1653     0.977
     -1658    0.9689
     -1663    0.9597
     -1668    0.9482
     -1673    0.9366
     -1674    0.9343
     -1676    0.9228
     -1678    0.9194
     -1680    0.9147
     -1682     0.909
     -1684    0.9055
     -1686    0.8998
     -1688    0.8917
     -1690    0.8836
     -1692    0.8836
     -1693    0.8802
     -1698     0.866
     -1700     0.519
     -1700     0.519
