#      RECTANGULAR GRID:                                                         
#     R    151 POINTS: R=0.60000E+03,0.75000E+03,0.10000E+01                     
#     Z     11 POINTS: Z=0.00000E+00,0.10000E+02,0.10000E+01                     
# TABLE: R         Z          BR          BZ                                     
 0.69300E+03 0.00000E+00 0.40336E-14 0.14048E+05
 0.69400E+03 0.00000E+00 0.00000E+00 0.14236E+05
 0.69500E+03 0.00000E+00 0.00000E+00 0.14369E+05
 0.69600E+03 0.00000E+00 0.82031E-15 0.14444E+05
 0.69700E+03 0.00000E+00 0.00000E+00 0.14492E+05
 0.69800E+03 0.00000E+00 0.00000E+00 0.14519E+05
 0.69900E+03 0.00000E+00 0.00000E+00 0.14529E+05
 0.70000E+03 0.00000E+00 0.23083E-16 0.14530E+05
 0.70100E+03 0.00000E+00 0.00000E+00 0.14528E+05
 0.70200E+03 0.00000E+00 -.24828E-15 0.14524E+05
 0.70300E+03 0.00000E+00 -.27214E-16 0.14520E+05
 0.70400E+03 0.00000E+00 0.00000E+00 0.14517E+05
 0.70500E+03 0.00000E+00 0.00000E+00 0.14515E+05
 0.70600E+03 0.00000E+00 0.00000E+00 0.14513E+05
 0.70700E+03 0.00000E+00 0.11132E-16 0.14512E+05
 0.70800E+03 0.00000E+00 -.42814E-17 0.14511E+05
 0.70900E+03 0.00000E+00 0.00000E+00 0.14511E+05
 0.71000E+03 0.00000E+00 0.00000E+00 0.14511E+05
 0.71100E+03 0.00000E+00 0.38532E-17 0.14511E+05
 0.71200E+03 0.00000E+00 -.27829E-17 0.14512E+05
 0.71300E+03 0.00000E+00 0.10703E-17 0.14512E+05
 0.71400E+03 0.00000E+00 -.17125E-17 0.14512E+05
 0.71500E+03 0.00000E+00 -.68502E-17 0.14513E+05
 0.71600E+03 0.00000E+00 0.00000E+00 0.14514E+05
 0.71700E+03 0.00000E+00 0.68502E-17 0.14514E+05
 0.71800E+03 0.00000E+00 -.77065E-17 0.14515E+05
 0.71900E+03 0.00000E+00 0.85627E-18 0.14515E+05
 0.72000E+03 0.00000E+00 0.00000E+00 0.14515E+05
 0.72100E+03 0.00000E+00 0.68502E-17 0.14515E+05
 0.72200E+03 0.00000E+00 0.68502E-16 0.14512E+05
 0.72300E+03 0.00000E+00 0.11645E-15 0.14505E+05
 0.72400E+03 0.00000E+00 0.80490E-15 0.14491E+05
 0.72500E+03 0.00000E+00 -.65762E-15 0.14467E+05
 0.72600E+03 0.00000E+00 -.98643E-15 0.14422E+05
 0.72700E+03 0.00000E+00 0.54801E-15 0.14351E+05
 0.72800E+03 0.00000E+00 -.43841E-15 0.14244E+05
 0.72900E+03 0.00000E+00 -.56994E-14 0.14091E+05
 0.73000E+03 0.00000E+00 -.43841E-15 0.13884E+05
 0.73100E+03 0.00000E+00 0.24113E-14 0.13619E+05
 0.73200E+03 0.00000E+00 -.10741E-13 0.13295E+05
 0.73300E+03 0.00000E+00 -.43841E-14 0.12917E+05
 0.73400E+03 0.00000E+00 -.14218E-13 0.12493E+05
 0.73500E+03 0.00000E+00 0.00000E+00 0.12037E+05
 0.73600E+03 0.00000E+00 0.00000E+00 0.11561E+05
 0.73700E+03 0.00000E+00 0.00000E+00 0.11077E+05
 0.73800E+03 0.00000E+00 0.00000E+00 0.10592E+05
 0.73900E+03 0.00000E+00 0.00000E+00 0.10113E+05
 0.74000E+03 0.00000E+00 0.00000E+00 0.96405E+04
 0.74100E+03 0.00000E+00 0.00000E+00 0.91756E+04
 0.74200E+03 0.00000E+00 0.00000E+00 0.87159E+04
 0.74300E+03 0.00000E+00 0.00000E+00 0.82574E+04
 0.74400E+03 0.00000E+00 0.00000E+00 0.77949E+04
 0.74500E+03 0.00000E+00 0.00000E+00 0.73225E+04
 0.74600E+03 0.00000E+00 0.00000E+00 0.68337E+04
 0.74700E+03 0.00000E+00 0.00000E+00 0.63237E+04
 0.74800E+03 0.00000E+00 0.00000E+00 0.57893E+04
 0.74900E+03 0.00000E+00 0.00000E+00 0.52311E+04
 0.75000E+03 0.00000E+00 0.00000E+00 0.46576E+04
 0.60000E+03 0.10000E+01 0.00000E+00 0.00000E+00
 0.60100E+03 0.10000E+01 0.00000E+00 0.00000E+00
 0.60200E+03 0.10000E+01 0.00000E+00 0.00000E+00
 0.60300E+03 0.10000E+01 0.00000E+00 0.00000E+00
 0.60400E+03 0.10000E+01 0.00000E+00 0.00000E+00
 0.60500E+03 0.10000E+01 0.00000E+00 0.00000E+00
 0.60600E+03 0.10000E+01 0.00000E+00 0.00000E+00
 0.60700E+03 0.10000E+01 0.45523E+00 0.37458E+03
 0.60800E+03 0.10000E+01 0.13204E+01 0.37540E+03
 0.60900E+03 0.10000E+01 0.21694E+01 0.37723E+03
 0.61000E+03 0.10000E+01 0.28483E+01 0.37977E+03
 0.61100E+03 0.10000E+01 0.35379E+01 0.38297E+03
 0.61200E+03 0.10000E+01 0.45985E+01 0.38704E+03
 0.61300E+03 0.10000E+01 0.53186E+01 0.39201E+03
 0.61400E+03 0.10000E+01 0.60512E+01 0.39770E+03
 0.61500E+03 0.10000E+01 0.68980E+01 0.40416E+03
 0.61600E+03 0.10000E+01 0.79577E+01 0.41158E+03
 0.61700E+03 0.10000E+01 0.87593E+01 0.41993E+03
 0.61800E+03 0.10000E+01 0.95830E+01 0.42909E+03
 0.61900E+03 0.10000E+01 0.10620E+02 0.43916E+03
 0.62000E+03 0.10000E+01 0.11748E+02 0.45034E+03
 0.62100E+03 0.10000E+01 0.12684E+02 0.46254E+03
 0.62200E+03 0.10000E+01 0.13650E+02 0.47567E+03
 0.62300E+03 0.10000E+01 0.14941E+02 0.48990E+03
 0.62400E+03 0.10000E+01 0.16198E+02 0.50545E+03
 0.62500E+03 0.10000E+01 0.17310E+02 0.52217E+03
 0.62600E+03 0.10000E+01 0.18459E+02 0.54000E+03
 0.62700E+03 0.10000E+01 0.20089E+02 0.55918E+03
 0.62800E+03 0.10000E+01 0.21514E+02 0.57997E+03
 0.62900E+03 0.10000E+01 0.22887E+02 0.60212E+03
 0.63000E+03 0.10000E+01 0.24314E+02 0.62562E+03
 0.63100E+03 0.10000E+01 0.26399E+02 0.65083E+03
 0.63200E+03 0.10000E+01 0.28035E+02 0.67804E+03
 0.63300E+03 0.10000E+01 0.29724E+02 0.70684E+03
 0.63400E+03 0.10000E+01 0.31485E+02 0.73730E+03
 0.63500E+03 0.10000E+01 0.34061E+02 0.77001E+03
 0.63600E+03 0.10000E+01 0.36079E+02 0.80506E+03
 0.63700E+03 0.10000E+01 0.38185E+02 0.84209E+03
 0.63800E+03 0.10000E+01 0.40412E+02 0.88117E+03
 0.63900E+03 0.10000E+01 0.43546E+02 0.92316E+03
 0.64000E+03 0.10000E+01 0.46051E+02 0.96792E+03
 0.64100E+03 0.10000E+01 0.48662E+02 0.10152E+04
 0.64200E+03 0.10000E+01 0.51578E+02 0.10649E+04
 0.64300E+03 0.10000E+01 0.55274E+02 0.11184E+04
 0.64400E+03 0.10000E+01 0.58383E+02 0.11752E+04
 0.64500E+03 0.10000E+01 0.61626E+02 0.12350E+04
 0.64600E+03 0.10000E+01 0.65442E+02 0.12981E+04
