     0.00000     1.4513087      -0.00234
    10.00000     1.4512875      -0.00115
    20.00000     1.4512753      -0.00043
    30.00000     1.4512775       0.00052
    40.00000     1.4512839       0.00124
    50.00000     1.4512969       0.00176
    60.00000     1.4513139       0.00194
    70.00000     1.4513309       0.00096
    80.00000     1.4513311      -0.00180
    90.00000     1.4512752      -0.00981
   100.00000     1.4511067      -0.02660
   110.00000     1.4506944      -0.05989
   120.00000     1.4498239      -0.12094
   130.00000     1.4481412      -0.22455
   140.00000     1.4451352      -0.38951
   150.00000     1.4400923      -0.63391
   160.00000     1.4321657      -0.96887
   170.00000     1.4204104      -1.39919
   180.00000     1.4038889      -1.91606
   190.00000     1.3818465      -2.49600
   200.00000     1.3538258      -3.09835
   210.00000     1.3198729      -3.67008
   220.00000     1.2805772      -4.15603
   230.00000     1.2370588      -4.51916
   240.00000     1.1906942      -4.74887
   250.00000     1.1428405      -4.85637
   260.00000     1.0946003      -4.88790
   270.00000     1.0468640      -4.82194
   280.00000     0.9947447      -5.19749
   290.00000     0.9440496      -4.39985
   300.00000     0.9002873      -4.42888
   310.00000     0.8555743      -4.68521
   320.00000     0.8084339      -4.72605
   330.00000     0.7616872      -4.70273
   340.00000     0.7142270      -4.79412
   350.00000     0.6656935      -4.92163
   360.00000     0.6154330      -5.11401
   370.00000     0.5635585      -5.25894
   380.00000     0.5098616      -5.41268
   390.00000     0.4554027      -5.46653
   400.00000     0.4004822      -5.41208
   410.00000     0.3471173      -5.19158
   420.00000     0.2968682      -4.83946
   430.00000     0.2507845      -4.34720
   440.00000     0.2097851      -3.84554
   450.00000     0.1742579      -3.31185
   460.00000     0.1437685      -2.82610
   470.00000     0.1176661      -2.40301
   480.00000     0.0956615      -2.04018
   490.00000     0.0768865      -1.72469
   500.00000     0.0611263      -1.46905
   510.00000     0.0475481      -1.25466
   520.00000     0.0359133      -1.08950
   530.00000     0.0258074      -0.95847
   540.00000     0.0168074      -0.84603
   550.00000     0.0088618      -0.75161
   560.00000     0.0015812      -0.71218
   570.00000    -0.0054391      -0.69597
   580.         -0.             -0.
   590.         -0.             -0.
   600.         -0.             -0.
