#Horizontal Tune =       0.9052
#Vertical Tune   =       0.4299
#Field index     =       0.1807
#           s      beta x     alpha x      beta y     alpha y         eta        etap
  0.0000E+00  8.1459E+00  4.2453E-03  1.6062E+01 -7.0364E-03  8.8142E+00 -3.8974E-03
  1.0000E-02  8.1458E+00  4.6282E-03  1.6062E+01 -7.6590E-03  8.8142E+00 -4.2339E-03
  2.0000E-02  8.1457E+00  5.0110E-03  1.6063E+01 -8.2816E-03  8.8141E+00 -4.5704E-03
  3.0000E-02  8.1456E+00  5.3937E-03  1.6063E+01 -8.9042E-03  8.8141E+00 -4.9069E-03
  4.0000E-02  8.1455E+00  5.7764E-03  1.6063E+01 -9.5268E-03  8.8140E+00 -5.2434E-03
  5.0000E-02  8.1454E+00  6.1591E-03  1.6063E+01 -1.0149E-02  8.8140E+00 -5.5799E-03
  6.0000E-02  8.1453E+00  6.5417E-03  1.6063E+01 -1.0772E-02  8.8139E+00 -5.9164E-03
  7.0000E-02  8.1451E+00  6.9243E-03  1.6064E+01 -1.1395E-02  8.8138E+00 -6.2528E-03
  8.0000E-02  8.1450E+00  7.3068E-03  1.6064E+01 -1.2017E-02  8.8138E+00 -6.5893E-03
  9.0000E-02  8.1449E+00  7.6893E-03  1.6064E+01 -1.2640E-02  8.8137E+00 -6.9257E-03
  1.0000E-01  8.1447E+00  8.0717E-03  1.6064E+01 -1.3262E-02  8.8136E+00 -7.2622E-03
  1.1000E-01  8.1445E+00  8.4540E-03  1.6065E+01 -1.3885E-02  8.8136E+00 -7.5986E-03
  1.2000E-01  8.1444E+00  8.8363E-03  1.6065E+01 -1.4508E-02  8.8135E+00 -7.9350E-03
  1.3000E-01  8.1442E+00  9.2185E-03  1.6065E+01 -1.5130E-02  8.8134E+00 -8.2714E-03
  1.4000E-01  8.1440E+00  9.6006E-03  1.6065E+01 -1.5753E-02  8.8133E+00 -8.6077E-03
  1.5000E-01  8.1438E+00  9.9827E-03  1.6066E+01 -1.6375E-02  8.8132E+00 -8.9441E-03
  1.6000E-01  8.1436E+00  1.0365E-02  1.6066E+01 -1.6998E-02  8.8131E+00 -9.2804E-03
  1.7000E-01  8.1434E+00  1.0747E-02  1.6066E+01 -1.7621E-02  8.8130E+00 -9.6167E-03
  1.8000E-01  8.1432E+00  1.1128E-02  1.6067E+01 -1.8243E-02  8.8129E+00 -9.9530E-03
